ID	LON	LAT
9557	0.7	42.46
9558	-5.64	41.57
9559	-4.38	38.06
9560	-6.24	38.19
9561	-5.04	40.71
9562	2.0	41.67
9564	-1.6	40.45
9565	-1.23	42.97
9567	1.3	42.34
9568	-0.23	42.76
9569	-6.45	42.87
9571	-6.01	43.28
9573	2.99	41.86
9574	-2.7	38.6
9576	-4.11	40.86
9577	2.17	42.34
9578	-6.7	42.13
9579	-3.51	38.33
9581	-5.12	42.84
9582	-1.63	41.48
9583	-3.38	37.09
9584	-3.58	41.19
9585	-7.39	43.4
9586	-3.27	41.03
9587	-1.88	41.5
9588	0.6	42.11
9589	-2.83	41.6
9590	-5.49	43.37
9591	-3.59	42.86
9592	-5.44	42.1
9593	-2.99	42.26
9594	1.01	42.04
9595	-5.5	40.89
9596	-7.45	41.95
9597	-2.53	42.31
9598	-6.51	41.88
9599	-5.77	42.8
9600	-6.04	39.85
9601	-1.88	41.85
9602	-3.96	40.5
9606	-7.45	31.48
9607	52.15	53.05
9608	59.44	51.37
9609	59.98	51.41
9610	51.96	53.04
9611	51.9	53.04
9612	51.94	53.04
9613	61.41	55.36
9615	52.16	52.99
9616	51.96	53.06
9617	59.44	51.37
9619	79.48	51.84
9620	79.48	51.82
9621	79.46	51.84
9622	85.27	52.52
9624	79.37	53.6
9625	82.59	51.31
9626	82.59	51.36
9627	82.55	51.32
9628	82.54	51.33
9629	82.18	51.35
9630	82.16	51.34
9631	80.79	51.65
9632	80.82	51.67
9633	80.83	51.63
9634	81.31	54.13
9635	80.6	51.87
9636	80.82	51.75
9637	80.85	51.77
9638	80.86	51.73
9639	80.31	53.82
9640	80.06	51.87
9641	80.06	51.9
9642	80.06	51.84
9643	79.31	52.1
9644	18.72	45.07
9645	18.7	45.17
9646	16.170188	39.126899
9647	16.77	40.37
9648	16.28	39.48
9649	16.17	39.13
9651	14.87	40.68
9653	16.13	38.44
9655	16.47	38.92
9656	17.31	40.64
9657	16.04	38.45
9658	16.34	38.97
9659	14.18	41.18
9660	14.57	40.84
9661	16.21	39.58
9663	14.09	41.33
9664	11.2832	46.366
9665	11.2832	46.366
9666	11.2832	46.366
9667	11.2832	46.366
9668	11.2837	46.3668
9669	11.2837	46.3668
9670	11.2837	46.3668
9671	11.2837	46.3668
9672	11.2837	46.3668
9673	11.2837	46.3668
9676	11.2866	46.3718
9677	11.2866	46.3718
9678	11.2866	46.3718
9679	11.2928	46.3378
9680	11.2928	46.3378
9681	11.2928	46.3378
9682	11.2928	46.3378
9683	11.2928	46.3378
9684	11.2928	46.3378
9685	11.2928	46.3378
9686	11.2928	46.3378
9687	11.2928	46.3378
9689	11.2928	46.3378
9690	11.2928	46.3378
9691	11.2928	46.3378
9692	11.2928	46.3378
9693	11.2928	46.3378
9694	11.2928	46.3378
9695	11.2928	46.3378
9696	11.2928	46.3378
9697	23.94	41.62
9698	23.85	41.57
9699	23.14	41.37
9700	23.1	42.32
9701	25.91	43.7
9703	23.39	41.53
9704	23.39	41.53
9705	23.33	41.5
9706	24.18	41.64
9707	24.84	41.57
9708	25.35	41.62
9709	23.13	41.85
9710	23.13	41.85
9711	23.1	42.32
9712	23.1	42.32
9713	25.61	42.49
9714	25.75	41.84
9716	24.98	41.54
9717	25.47	41.66
9718	24.75	41.55
9719	25.69	41.83
9720	25.68	41.77
9721	25.33	42.72
9722	24.41	41.71
9723	23.67	41.42
9725	23.08	37.6
9726	22.04	37.07
9727	21.62	37.63
9728	18.9	48.46
9729	18.9	48.46
9730	18.94	48.47
9731	18.9	48.46
9732	18.96	48.47
9733	18.94	48.47
9735	18.94	48.47
9736	25.17	44.69
9737	22.62	45.95
9738	25.42	45.57
9739	22.33	46.01
9741	23.16	45.84
9743	25.0	45.14
9744	27.59	47.16
9745	70.05	41.45
9747	21.22	44.38
9748	21.71	44.23
9749	22.29	43.54
9754	21.37	44.66
9755	22.56	44.56
9756	21.08	44.3
9757	21.08	44.3
9758	88.4	47.75
9759	49.47	37.47
9761	35.7	33.92
9762	14.98	37.69
9764	35.84	34.1
9766	74.16	42.26
9768	9.16	48.57
9769	8.99	48.55
9770	9.01	48.53
9771	9.11	48.56
9772	8.85	48.41
9774	9.22	48.59
9775	8.79	48.41
9776	8.79	48.43
9777	9.17	48.57
9778	8.84	48.41
9779	8.78	48.5
9780	8.79	48.43
9781	9.11	48.52
9782	9.09	48.53
9783	9.05	48.52
9784	8.8	48.5
9785	9.02	48.54
9786	9.01	48.54
9787	9.0	48.5
9788	9.01	48.53
9789	8.96	48.39
9790	9.18	48.58
9791	9.2	48.6
9792	9.09	48.54
9793	9.16	48.57
9794	9.08	48.52
9795	9.11	48.5
9796	8.84	48.41
9797	9.02	48.54
9798	9.01	48.54
9799	8.85	48.39
9800	9.01	48.54
9801	9.01	48.54
9802	9.11	48.51
9803	8.76	48.42
9804	8.87	48.45
9805	9.09	48.54
9806	9.16	48.56
9807	9.22	48.6
9808	9.08	48.52
9809	9.05	48.52
9810	9.07	48.53
9811	9.05	48.52
9812	9.03	48.52
9813	8.77	48.4
9814	8.79	48.42
9815	9.02	48.54
9816	9.06	48.55
9817	-6.6	39.84
9819	-3.03	42.35
9820	-4.71	41.0
9821	2.49	41.81
